Station Name,Station,Stn Code,"Old Station
Category","New Station
Category",Division,Zone,District,State
BHORAS BUDRUKH (BFJ),BHORAS BUDRUKH,BFJ,F,HG2,BSL,CR,JALGAON,MAHARASHTRA
JAMNER (JMNR),JAMNER,JMNR,E,HG2,BSL,CR,JALGAON,MAHARASHTRA
ANJANGAON (ANJ),ANJANGAON,ANJ,E,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
BANOSA (BASA),BANOSA,BASA,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
BHADSIVNI (BDKE),BHADSIVNI,BDKE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
BHAGDARA (BGR),BHAGDARA,BGR,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
BORVIHIR (BRVR),BORVIHIR,BRVR,F,HG3,BSL,CR,DHULE,MAHARASHTRA
CHAMAK (CMK),CHAMAK,CMK,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
DARWHA MOTI BAGH JN. (DWM),DARWHA MOTI BAGH JN.,DWM,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
KAPUSTALNI (KTNI),KAPUSTALNI,KTNI,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KARANJA (KRJA),KARANJA,KRJA,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
KARANJA TOWN (KRJT),KARANJA TOWN,KRJT,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
KHUSTA BUZURG (KSBG),KHUSTA BUZURG,KSBG,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KINKHED (KQV),KINKHED,KQV,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
KOHDAD (KDK),KOHDAD,KDK,F,HG3,BSL,CR,EAST NIMAR,MADHYA PRADESH
KOKALDA (KXD),KOKALDA,KXD,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
KOLHADI (KLHD),KOLHADI,KLHD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
LADKHED (LDD),LADKHED,LDD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
LAKHPURI (LPU),LAKHPURI,LPU,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
LASINA (LSN),LASINA,LSN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
LEHGAON (LGN),LEHGAON,LGN,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
LING (LING),LING,LING,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
MANDURA (MNDA),MANDURA,MNDA,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
MOHADI PRAGANE LALIN (MHAD),MOHADI PRAGANE LALIN,MHAD,F,HG3,BSL,CR,DHULE,MAHARASHTRA
MORDAD TANDA (MWK),MORDAD TANDA,MWK,F,HG3,BSL,CR,DHULE,MAHARASHTRA
MURTIZAPUR TOWN (MZRT),MURTIZAPUR TOWN,MZRT,F,HG3,BSL,CR,AKOLA,MAHARASHTRA
NOWBAGH (NBGH),NOWBAGH,NBGH,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
PAHUR (PHU),PAHUR,PHU,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
PIMPALGAON (PMGN),PIMPALGAON,PMGN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
POHE (POHE),POHE,POHE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
RAJMANE (RM),RAJMANE,RM,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
SANGWI (SWQ),SANGWI,SWQ,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
SHENDURNI (SDRN),SHENDURNI,SDRN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
SHIRALA (SIRL),SHIRALA,SIRL,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA
SOMTHAN (SMTN),SOMTHAN,SMTN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
TAPONA (TPN),TAPONA,TPN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
VARKHEDI (VRKD),VARKHEDI,VRKD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA
VILEGAON (VLN),VILEGAON,VLN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA
WARUDKHED (WRD),WARUDKHED,WRD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA
PADLI (PI),PADLI,PI,NA,"Not open for passenger
traffic",BSL,CR,NASHIK,MAHARASHTRA
SAGPHATA (SXA),SAGPHATA,SXA,NA,"Not open for passenger
traffic",BSL,CR,BURHANPUR,MADHYA PRADESH
NASHIK ROAD (NK),NASHIK ROAD,NK,A1,NSG2,BSL,CR,NASHIK,MAHARASHTRA
AKOLA JN. (AK),AKOLA JN.,AK,A,NSG3,BSL,CR,AKOLA,MAHARASHTRA
AMRAVATI (AMI),AMRAVATI,AMI,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
BADNERA JN. (BD),BADNERA JN.,BD,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA
BHUSAVAL JN. (BSL),BHUSAVAL JN.,BSL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
JALGAON JN (JL),JALGAON JN,JL,A,NSG3,BSL,CR,JALGAON,MAHARASHTRA
KHANDWA (KNW),KHANDWA,KNW,A,NSG3,BSL,CR,EAST NIMAR,MADHYA PRADESH
MANMAD JN. (MMR),MANMAD JN.,MMR,A,NSG3,BSL,CR,NASHIK,MAHARASHTRA
SHEGAON (SEG),SHEGAON,SEG,A,NSG3,BSL,CR,BULDHANA,MAHARASHTRA
BURHANPUR (BAU),BURHANPUR,BAU,B,NSG4,BSL,CR,BURHANPUR,MADHYA PRADESH
CHALISGAON JN (CSN),CHALISGAON JN,CSN,B,NSG4,BSL,CR,JALGAON,MAHARASHTRA
MALKAPUR (MKU),MALKAPUR,MKU,B,NSG4,BSL,CR,BULDHANA,MAHARASHTRA
BODWAD (BDWD),BODWAD,BDWD,A,NSG5,BSL,CR,JALGAON,MAHARASHTRA
DEVLALI (DVL),DEVLALI,DVL,B,NSG5,BSL,CR,NASHIK,MAHARASHTRA
DHULE (DHI),DHULE,DHI,E,NSG5,BSL,CR,DHULE,MAHARASHTRA
LASALGAON (LS),LASALGAON,LS,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA
MURTIZAPUR (MZR),MURTIZAPUR,MZR,B,NSG5,BSL,CR,AKOLA,MAHARASHTRA
NANDGAON (NGN),NANDGAON,NGN,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA
NANDURA (NN),NANDURA,NN,D,NSG5,BSL,CR,BULDHANA,MAHARASHTRA
NEPANAGAR (NPNR),NEPANAGAR,NPNR,D,NSG5,BSL,CR,BURHANPUR,MADHYA PRADESH
NIPHAD (NR),NIPHAD,NR,D,NSG5,BSL,CR,NASHIK,MAHARASHTRA
PACHORA JN. (PC),PACHORA JN.,PC,B,NSG5,BSL,CR,JALGAON,MAHARASHTRA
RAVER (RV),RAVER,RV,D,NSG5,BSL,CR,JALGAON,MAHARASHTRA
ACHALPUR (ELP),ACHALPUR,ELP,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA
ACHEGAON (ACG),ACHEGAON,ACG,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
ANKAI (ANK),ANKAI,ANK,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
ASIRGARH ROAD (AGQ),ASIRGARH ROAD,AGQ,E,NSG6,BSL,CR,BURHANPUR,MADHYA PRADESH
ASVALI (AV),ASVALI,AV,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
BAGMAR (BMA),BAGMAR,BMA,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH
BHADLI (BDI),BHADLI,BDI,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
BISWA BRIDGE (BIS),BISWA BRIDGE,BIS,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
BORGAON (BGN),BORGAON,BGN,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
CHANDNI (CDI),CHANDNI,CDI,E,NSG6,BSL,CR,BURHANPUR,MADHYA PRADESH
CHANDUR BAZAR (CNDB),CHANDUR BAZAR,CNDB,A,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA
DONGARGAON (DGN),DONGARGAON,DGN,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH
DUSKHEDA (DSK),DUSKHEDA,DSK,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
GAIGAON (GAO),GAIGAON,GAO,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
GALAN (GAA),GALAN,GAA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
GHOTI (GO),GHOTI,GO,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
HIRAPUR (HPR),HIRAPUR,HPR,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
HISVAHAL (HSL),HISVAHAL,HSL,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
JALAMB JN. (JM),JALAMB JN.,JM,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
JAMDHA (JMD),JAMDHA,JMD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
KAJGAON (KJ),KAJGAON,KJ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
KASBE SUKENE (KBSN),KASBE SUKENE,KBSN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
KATEPURNA (KTP),KATEPURNA,KTP,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
KHAMGAON (KMN),KHAMGAON,KMN,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
KHAMKHED (KMKD),KHAMKHED,KMKD,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
KHERWADI (KW),KHERWADI,KW,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
KHUMGAON BURTI (KJL),KHUMGAON BURTI,KJL,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
KURAM (KUM),KURAM,KUM,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
LAHAVIT (LT),LAHAVIT,LT,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
MAHEJI (MYJ),MAHEJI,MYJ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
MANA (MANA),MANA,MANA,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
MANDWA (MWA),MANDWA,MWA,E,NSG6,BSL,CR,EAST NIMAR,MADHYA PRADESH
MHASAVAD (MWD),MHASAVAD,MWD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
NAGARDEVLA (NGD),NAGARDEVLA,NGD,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
NAYDONGRI (NI),NAYDONGRI,NI,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
NEW AMRAVATI (NAVI),NEW AMRAVATI,NAVI,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA
NIMBHORA (NB),NIMBHORA,NB,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
ODHA (ODHA),ODHA,ODHA,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
PANJHAN (PJN),PANJHAN,PJN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
PARAS (PS),PARAS,PS,E,NSG6,BSL,CR,AKOLA,MAHARASHTRA
PARDHADE (PHQ),PARDHADE,PHQ,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
PIMPARKHED (PKE),PIMPARKHED,PKE,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
SAVDA (SAV),SAVDA,SAV,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
SHIRSOLI (SS),SHIRSOLI,SS,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
SHIRUD (SHF),SHIRUD,SHF,E,NSG6,BSL,CR,DHULE,MAHARASHTRA
SHRI KSHETRA NAGJHARI (NGZ),SHRI KSHETRA NAGJHARI,NGZ,E,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
SUMMIT (SUM),SUMMIT,SUM,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
TAKLI (TKI),TAKLI,TKI,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA
UGAON (UGN),UGAON,UGN,E,NSG6,BSL,CR,NASHIK,MAHARASHTRA
VAGHLI (VGL),VAGHLI,VGL,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
VARANGAON (VNA),VARANGAON,VNA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
WADODA (WADO),WADODA,WADO,F,NSG6,BSL,CR,BULDHANA,MAHARASHTRA
WAGHODA (WGA),WAGHODA,WGA,E,NSG6,BSL,CR,JALGAON,MAHARASHTRA
WALGAON (WLGN),WALGAON,WLGN,E,NSG6,BSL,CR,AMRAVATI,MAHARASHTRA
YAVATMAL (YTL),YAVATMAL,YTL,A,NSG6,BSL,CR,YAVATMAL,MAHARASHTRA
YEULKHED (YAD),YEULKHED,YAD,F,NSG6,BSL,CR,AKOLA,MAHARASHTRA
PANEVADI (PNV),PANEVADI,PNV,NA,POL Siding,BSL,CR,NASHIK,MAHARASHTRA
ANKAI KILA (AAK),ANKAI KILA,AAK,NA,"This is B class station of operating, there facility of Goods
shed.",BSL,CR,NASHIK,MAHARASHTRA
CHAUK (CHOK),CHAUK,CHOK,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA
HAMARAPUR (HMRR),HAMARAPUR,HMRR,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA
JUICHANDRA (JCNR),JUICHANDRA,JCNR,F,HG2,CSTM,CR,THANE,MAHARASHTRA
KASU (KASU),KASU,KASU,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA
NAVADE ROAD (NVRD),NAVADE ROAD,NVRD,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA
NIDI (NIDI),NIDI,NIDI,F,HG2,CSTM,CR,RAIGAD,MAHARASHTRA
CHIKHLI (CKHS),CHIKHLI,CKHS,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA
MOHOPE (MHPE),MOHOPE,MHPE,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA
OOMBERMALI (OMB),OOMBERMALI,OMB,NA,HG3,CSTM,CR,THANE,MAHARASHTRA
RASAYANI (RSYI),RASAYANI,RSYI,F,HG3,CSTM,CR,RAIGAD,MAHARASHTRA
THANSIT (THS),THANSIT,THS,NA,HG3,CSTM,CR,THANE,MAHARASHTRA
C SHIVAJI MAH T (CSMT),C SHIVAJI MAH T,CSMT,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA
DADAR (DR),DADAR,DR,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA
KALYAN JN. (KYN),KALYAN JN.,KYN,A1,NSG1,CSTM,CR,THANE,MAHARASHTRA
LOKMANYA TILAK TERMI (LTT),LOKMANYA TILAK TERMI,LTT,A1,NSG1,CSTM,CR,MUMBAI,MAHARASHTRA
PANVEL (PNVL),PANVEL,PNVL,A,NSG1,CSTM,CR,RAIGAD,MAHARASHTRA
THANE (TNA),THANE,TNA,A1,NSG1,CSTM,CR,THANE,MAHARASHTRA
LONAVALA (LNL),LONAVALA,LNL,A,NSG3,CSTM,CR,PUNE,MAHARASHTRA
AMAN LODGE (ANLG),AMAN LODGE,ANLG,D,NSG4,CSTM,CR,RAIGAD,MAHARASHTRA
BHIVANDI ROAD (BIRD),BHIVANDI ROAD,BIRD,D,NSG4,CSTM,CR,THANE,MAHARASHTRA
MATHERAN (MAE),MATHERAN,MAE,B,NSG4,CSTM,CR,RAIGAD,MAHARASHTRA
IGATPURI (IGP),IGATPURI,IGP,B,NSG5,CSTM,CR,NASHIK,MAHARASHTRA
ROHA (ROHA),ROHA,ROHA,D,NSG5,CSTM,CR,RAIGAD,MAHARASHTRA
APTA (APTA),APTA,APTA,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
JITE (JITE),JITE,JITE,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
KALAMBOLI (KLMC),KALAMBOLI,KLMC,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
KAMAN ROAD (KARD),KAMAN ROAD,KARD,E,NSG6,CSTM,CR,THANE,MAHARASHTRA
KHANDALA (KAD),KHANDALA,KAD,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
KHARBAV (KHBV),KHARBAV,KHBV,E,NSG6,CSTM,CR,THANE,MAHARASHTRA
NAGOTHANE (NGTN),NAGOTHANE,NGTN,NA,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
NILAJE (NIIJ),NILAJE,NIIJ,E,NSG6,CSTM,CR,THANE,MAHARASHTRA
PEN (PEN),PEN,PEN,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
SOMTANE (SMNE),SOMTANE,SMNE,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
TALOJA PANCHNAND (TPND),TALOJA PANCHNAND,TPND,E,NSG6,CSTM,CR,RAIGAD,MAHARASHTRA
AMBARNATH (ABH),AMBARNATH,ABH,C,SG1,CSTM,CR,THANE,MAHARASHTRA
BADLAPUR (BUD),BADLAPUR,BUD,C,SG1,CSTM,CR,THANE,MAHARASHTRA
BHANDUP (BND),BHANDUP,BND,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
DIVA (DIVA),DIVA,DIVA,C,SG1,CSTM,CR,THANE,MAHARASHTRA
DOMBIVLI (DI),DOMBIVLI,DI,C,SG1,CSTM,CR,THANE,MAHARASHTRA
GHATKOPAR (GC),GHATKOPAR,GC,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
KURLA JN. (CLA),KURLA JN.,CLA,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
MANKHURD (MNKD),MANKHURD,MNKD,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
MULUND (MLND),MULUND,MLND,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
MUMBRA (MBQ),MUMBRA,MBQ,C,SG1,CSTM,CR,THANE,MAHARASHTRA
SION (SIN),SION,SIN,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
VIKHROLI (VK),VIKHROLI,VK,C,SG1,CSTM,CR,MUMBAI,MAHARASHTRA
AIRAVALI (AIRL),AIRAVALI,AIRL,C,SG2,CSTM,CR,THANE,MAHARASHTRA
AMBIVLI (ABY),AMBIVLI,ABY,C,SG2,CSTM,CR,THANE,MAHARASHTRA
BELAPUR C.B.D (BEPR),BELAPUR C.B.D,BEPR,C,SG2,CSTM,CR,THANE,MAHARASHTRA
BYCULLA (BY),BYCULLA,BY,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
CHEMBUR (CMBR),CHEMBUR,CMBR,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
CHINCHPOKLI (CHG),CHINCHPOKLI,CHG,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
COTTON GREEN (CTGN),COTTON GREEN,CTGN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
CURREY ROAD (CRD),CURREY ROAD,CRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
GHANSOLI (GNSL),GHANSOLI,GNSL,C,SG2,CSTM,CR,THANE,MAHARASHTRA
GOVANDI (GV),GOVANDI,GV,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
"GURU
TEGHBAHADURNAGA (GTBN)","GURU
TEGHBAHADURNAGA",GTBN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
JUINAGAR (JNJ),JUINAGAR,JNJ,C,SG2,CSTM,CR,THANE,MAHARASHTRA
KALVA (KLVA),KALVA,KLVA,C,SG2,CSTM,CR,THANE,MAHARASHTRA
KANJUR MARG (KJRD),KANJUR MARG,KJRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
KARJAT (KJT),KARJAT,KJT,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA
KHANDESHWAR (KNDS),KHANDESHWAR,KNDS,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA
KHARGHAR (KHAG),KHARGHAR,KHAG,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA
KINGS CIRCLE (KCE),KINGS CIRCLE,KCE,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
KOPARKHAIRANE (KPHN),KOPARKHAIRANE,KPHN,A,SG2,CSTM,CR,THANE,MAHARASHTRA
MANSAROVAR (MANR),MANSAROVAR,MANR,C,SG2,CSTM,CR,RAIGAD,MAHARASHTRA
MASJID (MSD),MASJID,MSD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
MATUNGA (MTN),MATUNGA,MTN,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
NAHUR (NHU),NAHUR,NHU,A,SG2,CSTM,CR,MUMBAI SUBURBAN,MAHARASHTRA
NERUL (NEU),NERUL,NEU,C,SG2,CSTM,CR,THANE,MAHARASHTRA
SANDHURST ROAD (SNRD),SANDHURST ROAD,SNRD,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
SANPADA (SNCR),SANPADA,SNCR,C,SG2,CSTM,CR,THANE,MAHARASHTRA
SEAWOODSDARAVE (SWDV),SEAWOODSDARAVE,SWDV,C,SG2,CSTM,CR,THANE,MAHARASHTRA
SEWRI (SVE),SEWRI,SVE,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
SHAHAD (SHAD),SHAHAD,SHAD,C,SG2,CSTM,CR,THANE,MAHARASHTRA
THAKURLI (THK),THAKURLI,THK,C,SG2,CSTM,CR,THANE,MAHARASHTRA
TILAK NAGAR (TKNG),TILAK NAGAR,TKNG,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
TITWALA (TLA),TITWALA,TLA,C,SG2,CSTM,CR,THANE,MAHARASHTRA
ULHASNAGAR (ULNR),ULHASNAGAR,ULNR,C,SG2,CSTM,CR,THANE,MAHARASHTRA
VADALA ROAD (VDLR),VADALA ROAD,VDLR,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
VASHI (VSH),VASHI,VSH,C,SG2,CSTM,CR,THANE,MAHARASHTRA
VIDYAVIHAR (VVH),VIDYAVIHAR,VVH,C,SG2,CSTM,CR,MUMBAI,MAHARASHTRA
VITHALWADI (VLDI),VITHALWADI,VLDI,C,SG2,CSTM,CR,THANE,MAHARASHTRA
ASANGAON (ASO),ASANGAON,ASO,C,SG3,CSTM,CR,THANE,MAHARASHTRA
ATGAON (ATG),ATGAON,ATG,C,SG3,CSTM,CR,THANE,MAHARASHTRA
BAMANDONGRI (BMDR),BAMANDONGRI,BMDR,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
BHIVPURI ROAD (BVS),BHIVPURI ROAD,BVS,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
CHUNABHATTI (CHF),CHUNABHATTI,CHF,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA
DOCKYARD ROAD (DKRD),DOCKYARD ROAD,DKRD,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA
DOLAVALI (DLV),DOLAVALI,DLV,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
KASARA (KSRA),KASARA,KSRA,C,SG3,CSTM,CR,THANE,MAHARASHTRA
KELAVLI (KLY),KELAVLI,KLY,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
KHADAVLI (KDV),KHADAVLI,KDV,C,SG3,CSTM,CR,THANE,MAHARASHTRA
KHARDI (KE),KHARDI,KE,C,SG3,CSTM,CR,THANE,MAHARASHTRA
KHARKOPAR (KARP),KHARKOPAR,KARP,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
KHOPOLI (KHPI),KHOPOLI,KHPI,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
KOPAR (KOPR),KOPAR,KOPR,C,SG3,CSTM,CR,THANE,MAHARASHTRA
LOWJEE (LWJ),LOWJEE,LWJ,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
NERAL (NRL),NERAL,NRL,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
PALASDHARI (PDI),PALASDHARI,PDI,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
PAREL (PR),PAREL,PR,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA
RABALE (RABE),RABALE,RABE,C,SG3,CSTM,CR,THANE,MAHARASHTRA
REAY ROAD (RRD),REAY ROAD,RRD,C,SG3,CSTM,CR,MUMBAI,MAHARASHTRA
SHELU (SHLU),SHELU,SHLU,C,SG3,CSTM,CR,RAIGAD,MAHARASHTRA
TURBHE (TUH),TURBHE,TUH,C,SG3,CSTM,CR,THANE,MAHARASHTRA
VANGANI (VGI),VANGANI,VGI,C,SG3,CSTM,CR,THANE,MAHARASHTRA
VASIND (VSD),VASIND,VSD,C,SG3,CSTM,CR,THANE,MAHARASHTRA
FOOD CORPORATION OF (FNSG),FOOD CORPORATION OF,FNSG,NA,FCI SIDING,NGP,CR,NAGPUR,MAHARASHTRA
KHIRASDOH JN. (KUX),KHIRASDOH JN.,KUX,NA,GOODS SHED,NGP,CR,CHHINDWARA,MADHYA PRADESH
RAJUR (RAJR),RAJUR,RAJR,NA,GOODS SHED,NGP,CR,YAVATMAL,MAHARASHTRA
GHUGUS (GGS),GHUGUS,GGS,NA,GOODS SHED & SIDING,NGP,CR,CHANDRAPUR,MAHARASHTRA
BARCHHI ROAD (BCRD),BARCHHI ROAD,BCRD,F,HG2,NGP,CR,BETUL,MADHYA PRADESH
BARELIPAR (BQM),BARELIPAR,BQM,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH
BENODA (BNOD),BENODA,BNOD,F,HG2,NGP,CR,AMRAVATI,MAHARASHTRA
GANGIWARA (GNW),GANGIWARA,GNW,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH
MARKADHANA (MKDN),MARKADHANA,MKDN,F,HG2,NGP,CR,CHHINDWARA,MADHYA PRADESH
MOWAD (MWAD),MOWAD,MWAD,F,HG2,NGP,CR,NAGPUR,MAHARASHTRA
VARUD (VADR),VARUD,VADR,F,HG2,NGP,CR,WARDHA,MAHARASHTRA
DARIMETA (DDMT),DARIMETA,DDMT,F,HG3,NGP,CR,CHHINDWARA,MADHYA PRADESH
GHUDANKHAPA (GDKP),GHUDANKHAPA,GDKP,F,HG3,NGP,CR,CHHINDWARA,MADHYA PRADESH
GONDWANA VISAPUR (GNVR),GONDWANA VISAPUR,GNVR,F,HG3,NGP,CR,CHANDRAPUR,MAHARASHTRA
HATNAPUR (HTN),HATNAPUR,HTN,F,HG3,NGP,CR,BETUL,MADHYA PRADESH
HIWARKHED (HKNT),HIWARKHED,HKNT,F,HG3,NGP,CR,AMRAVATI,MAHARASHTRA
LALAWADI (LLD),LALAWADI,LLD,F,HG3,NGP,CR,BETUL,MADHYA PRADESH
MAGARDOH (MGRD),MAGARDOH,MGRD,F,HG3,NGP,CR,BETUL,MADHYA PRADESH
MALKAPUR ROAD (MALK),MALKAPUR ROAD,MALK,F,HG3,NGP,CR,BETUL,MADHYA PRADESH
TINKHEDA (TNH),TINKHEDA,TNH,F,HG3,NGP,CR,NAGPUR,MAHARASHTRA
YENOR (YNA),YENOR,YNA,HA,"no station for passenger traffic, operting
station",NGP,CR,WARDHA,MAHARASHTRA
NAGPUR (NGP),NAGPUR,NGP,A1,NSG2,NGP,CR,NAGPUR,MAHARASHTRA
BALHARSHAH (BPQ),BALHARSHAH,BPQ,A,NSG3,NGP,CR,CHANDRAPUR,MAHARASHTRA
BETUL (BZU),BETUL,BZU,A,NSG4,NGP,CR,BETUL,MADHYA PRADESH
